CustomerID,Gender,Married,Age,Graduated,Profession,WorkExperience,SpendingScore,FamilySize,Category
459161,Male,Yes,50,Yes,Manager,3,High,5,Category 6
459162,Female,Yes,83,Yes,Lawyer,0,High,2,Category 6
459167,Female,No,36,Yes,Artist,0,Low,2,Category 5
459170,Female,No,35,Yes,Artist,1,Low,1,Category 6
459171,Male,Yes,35,Yes,Artist,0,Average,2,Category 6
459172,Male,No,18,No,Nursing,3,Low,3,Category 2
459175,Female,Yes,73,Yes,Artist,1,Average,2,Category 6
459181,Male,Yes,62,No,Artist,1,High,3,Category 6
459182,Female,Yes,46,Yes,Artist,1,Average,2,Category 6
459193,Male,No,39,Yes,Artist,0,Low,1,Category 6
459194,Female,Yes,89,Yes,Lawyer,0,High,2,Category 6
459196,Female,No,18,No,Nursing,0,Low,3,Category 4
459208,Female,Yes,57,Yes,Artist,0,High,2,Category 3
459210,Female,Yes,71,Yes,Artist,1,High,2,Category 6
459212,Female,Yes,69,Yes,Artist,0,Average,2,Category 6
459213,Female,No,42,Yes,Nursing,0,Low,4,Category 6
459216,Female,No,36,Yes,Artist,0,Low,2,Category 6
459220,Female,Yes,80,Yes,Lawyer,1,High,2,Category 6
459222,Female,Yes,67,Yes,Artist,0,Average,3,Category 6
459224,Female,Yes,49,Yes,Artist,0,Average,2,Category 6
459227,Female,Yes,32,No,Engineer,9,Low,4,Category 6
459229,Female,Yes,65,Yes,Lawyer,1,Average,4,Category 6
459236,Female,Yes,78,No,Lawyer,0,High,2,Category 6
459237,Male,No,33,Yes,Artist,1,Low,6,Category 6
459244,Male,Yes,48,Yes,Artist,1,Low,1,Category 6
459247,Male,Yes,58,Yes,Manager,1,Average,5,Category 6
459258,Female,Yes,83,Yes,Lawyer,1,High,,Category 6
459263,Female,No,30,No,Nursing,9,Low,4,Category 6
459264,Female,No,35,Yes,Artist,0,Low,2,Category 6
459266,Male,No,32,Yes,Nursing,6,Low,5,Category 6
459270,Male,Yes,69,Yes,Homemaker,1,High,2,Category 6
459284,Female,Yes,71,Yes,Lawyer,1,High,2,Category 6
459287,Male,No,43,Yes,Lawyer,0,Low,1,Category 4
459288,Male,Yes,37,Yes,Artist,0,Low,2,Category 6
459292,Male,No,46,Yes,Artist,0,Low,2,Category 6
459293,Male,No,21,No,Nursing,,Low,,Category 1
459296,Male,Yes,70,Yes,Artist,0,Average,2,Category 6
459300,Female,Yes,61,Yes,Artist,1,Low,,Category 6
459316,Male,Yes,30,Yes,Nursing,1,Low,2,Category 6
459318,Female,No,32,Yes,Engineer,1,Low,3,Category 6
459320,Male,Yes,26,Yes,Manager,0,Low,3,Category 6
459322,Male,No,42,Yes,Marketing,0,Low,1,Category 6
459338,Male,Yes,80,No,Manager,,Low,,Category 6
459339,Male,Yes,29,Yes,Nursing,8,High,2,Category 6
459344,Female,Yes,88,Yes,Artist,1,High,2,Category 6
459347,Male,Yes,70,Yes,Lawyer,1,Low,1,Category 6
459349,Female,Yes,50,Yes,Artist,1,High,4,Category 6
459353,Male,Yes,51,Yes,Artist,6,Average,2,Category 6
459354,Female,Yes,50,Yes,Artist,,High,3,Category 6
459355,Female,Yes,74,No,Homemaker,,Low,1,Category 6
459360,Female,No,29,Yes,Nursing,,Low,3,Category 6
459361,Female,No,32,Yes,Engineer,,Low,2,Category 6
459362,Male,Yes,60,No,Manager,0,Low,2,Category 6
459363,Male,No,46,Yes,Artist,2,Low,1,Category 6
459364,Female,Yes,81,Yes,Marketing,0,Low,2,Category 6
459369,Male,Yes,41,No,Engineer,,Average,7,Category 4
459375,Male,Yes,22,No,Manager,0,High,4,Category 6
459377,Male,Yes,37,Yes,Artist,0,Average,3,Category 6
459383,Male,Yes,43,No,Engineer,0,Low,1,Category 6
459384,Male,Yes,50,Yes,Artist,1,Average,3,Category 6
459385,Female,Yes,35,Yes,Artist,1,Average,2,Category 7
459386,Male,Yes,65,No,Lawyer,1,High,2,Category 6
459391,Female,No,41,Yes,Engineer,0,Low,4,Category 6
459397,Male,Yes,55,Yes,Artist,4,Average,2,Category 6
459398,Female,Yes,58,No,Lawyer,,High,2,Category 6
459401,Male,No,28,No,Nursing,1,Low,3,
459403,Male,Yes,48,Yes,Artist,,Average,4,Category 7
459409,Female,Yes,76,Yes,Lawyer,0,High,2,Category 6
459410,Female,Yes,88,Yes,Lawyer,1,High,2,Category 6
459413,Female,Yes,79,Yes,Artist,,High,2,Category 6
459418,Male,Yes,69,No,Manager,0,High,2,Category 6
459420,Female,Yes,70,Yes,Lawyer,1,Low,2,Category 6
459421,Male,Yes,32,No,Nursing,0,Average,4,Category 6
459423,Male,No,21,No,Nursing,8,Low,5,Category 6
459428,Female,No,39,No,Marketing,0,Low,2,Category 4
459432,Male,Yes,85,Yes,Lawyer,0,Low,3,Category 6
459436,Female,No,66,Yes,Artist,0,Low,2,Category 6
459439,Female,Yes,50,Yes,Artist,1,Average,2,Category 6
459445,Female,Yes,42,Yes,Artist,0,Average,3,Category 6
459447,Male,Yes,53,Yes,Artist,9,Low,1,Category 6
459449,Male,Yes,37,Yes,Artist,,Low,2,Category 6
459451,Female,Yes,45,Yes,Artist,1,Low,2,Category 6
459456,Female,No,66,No,Lawyer,,Low,1,Category 6
459458,Male,No,33,No,Marketing,,Low,,Category 6
459459,Male,Yes,40,Yes,Artist,4,Low,1,Category 6
459461,Female,Yes,35,Yes,Artist,1,Low,1,Category 1
459464,Male,No,27,Yes,Artist,,Low,2,Category 6
459466,Female,Yes,48,Yes,Artist,0,Average,3,Category 4
459467,Female,Yes,56,Yes,Artist,0,Average,2,Category 6
459469,Male,Yes,25,Yes,Nursing,,Low,6,Category 6
459471,Female,No,30,No,Artist,,Low,8,Category 6
459481,Male,Yes,49,No,Lawyer,0,Low,2,Category 6
459482,Male,Yes,72,No,Marketing,1,Low,4,Category 6
459485,Female,Yes,79,Yes,Lawyer,,High,2,Category 6
459496,Female,No,35,Yes,Artist,,Low,3,Category 6
459497,Female,Yes,77,Yes,Lawyer,0,Low,1,Category 6
459499,Female,Yes,79,No,Lawyer,,High,2,Category 6
459503,Male,Yes,42,Yes,Nursing,6,High,4,Category 6
459505,Female,No,42,Yes,Engineer,,Low,1,Category 6
459507,Male,Yes,67,No,Lawyer,,High,2,Category 1
459509,Male,No,26,Yes,Nursing,1,Low,1,Category 6
459512,Male,Yes,67,Yes,Lawyer,1,High,2,Category 6
459515,Male,Yes,55,Yes,Engineer,1,Low,1,Category 6
459516,Female,,56,Yes,Artist,,Average,2,Category 6
459535,Male,Yes,46,Yes,Artist,8,Average,2,Category 6
459536,Male,Yes,32,Yes,Nursing,7,Low,2,Category 6
459538,Female,No,49,Yes,Homemaker,13,Low,1,Category 6
459541,Male,Yes,59,Yes,Artist,1,High,2,Category 6
459549,Male,No,22,No,Nursing,8,Low,5,Category 4
459555,Female,No,28,Yes,Artist,8,Low,1,Category 6
459564,Male,Yes,75,Yes,Lawyer,2,Low,1,Category 6
459566,Female,Yes,37,Yes,Artist,13,Low,2,Category 6
459571,Female,Yes,50,Yes,Manager,1,High,4,Category 6
459576,Female,Yes,88,No,Lawyer,,Low,,
459579,Female,Yes,35,Yes,Artist,3,Average,5,Category 4
459583,Male,Yes,46,Yes,Artist,0,Low,1,Category 6
459585,Female,Yes,50,Yes,Artist,1,Average,4,Category 6
459587,Female,No,33,Yes,Artist,7,Low,3,Category 6
459588,Male,Yes,49,Yes,Artist,0,Low,1,Category 6
459591,Male,Yes,52,Yes,Artist,1,Average,3,Category 6
459592,Male,No,25,No,Nursing,0,Low,3,Category 6
459594,Female,Yes,41,Yes,Artist,6,Low,1,Category 6
459597,Female,Yes,68,Yes,Artist,0,High,2,Category 6
459603,Female,Yes,79,No,Lawyer,2,High,2,Category 6
459612,Male,No,21,No,Nursing,,Low,2,Category 6
459616,Female,No,20,No,Nursing,,Low,4,Category 1
459621,Female,No,25,No,Nursing,8,Low,,
459625,Female,Yes,63,No,Engineer,8,Low,1,Category 6
459632,Female,Yes,50,No,Marketing,0,High,3,Category 4
459644,Female,No,30,No,Marketing,9,Low,4,Category 2
459652,Female,No,26,No,Engineer,,Low,4,Category 4
459658,Male,Yes,61,Yes,Artist,1,Average,3,Category 6
459664,Male,No,42,Yes,Artist,3,Low,1,Category 6
459665,Male,Yes,88,Yes,Artist,4,Low,2,Category 6
459672,Male,Yes,45,No,Artist,3,Average,3,Category 6
459673,Female,Yes,86,Yes,Lawyer,1,Low,1,Category 6
459678,Male,No,18,No,Nursing,1,Low,5,Category 6
459686,Male,Yes,46,Yes,Artist,1,Low,1,Category 6
459691,Male,Yes,58,No,Artist,,Average,2,Category 6
459692,Female,Yes,72,Yes,Lawyer,8,High,2,Category 6
459693,Female,Yes,50,Yes,Artist,0,High,3,
459699,Female,,56,Yes,Engineer,8,Average,3,Category 6
459701,Male,No,46,No,Artist,3,Low,3,Category 5
459710,Male,Yes,57,Yes,Artist,,Low,1,Category 6
459711,Male,Yes,42,No,Manager,9,High,6,Category 6
459712,Male,No,20,No,Nursing,,Low,4,Category 6
459713,Male,No,19,No,Nursing,,Low,3,Category 6
459715,Male,No,19,No,Nursing,4,Low,4,Category 6
459718,Male,Yes,68,Yes,Manager,1,Low,1,Category 6
459725,Female,Yes,40,Yes,Artist,0,Low,2,Category 6
459727,Male,Yes,82,No,Lawyer,,High,2,Category 6
459740,Female,No,23,No,Nursing,1,Low,3,Category 6
459742,Female,Yes,84,No,Lawyer,1,High,2,Category 6
459745,Male,Yes,51,No,Artist,0,Low,4,Category 1
459746,Male,,59,Yes,Artist,1,Average,2,Category 6
459747,Female,Yes,41,Yes,Artist,1,Average,5,Category 6
459748,Male,Yes,51,No,Manager,1,High,2,Category 6
459755,Female,Yes,62,No,Artist,,Average,3,Category 6
459756,Female,Yes,62,No,Lawyer,1,High,4,Category 4
459760,Female,Yes,38,Yes,Artist,8,Low,1,Category 6
459763,Male,No,18,No,Artist,,Low,4,Category 4
459767,Male,No,22,No,Nursing,3,Low,4,Category 6
459785,Female,No,32,Yes,Engineer,,Low,1,Category 3
459793,Male,Yes,37,Yes,Artist,1,High,,Category 6
459795,Male,No,48,Yes,Artist,1,Low,1,Category 6
459801,Female,No,31,Yes,Engineer,4,Low,2,Category 6
459804,Male,Yes,46,No,Artist,4,High,4,Category 6
459806,Female,Yes,49,No,Engineer,1,Average,4,Category 6
459815,Male,No,42,Yes,Artist,8,Low,1,Category 6
459821,Male,,71,No,Manager,,High,1,
459822,Female,No,39,Yes,Engineer,1,Low,1,Category 4
459825,Male,No,20,No,Nursing,0,Low,5,Category 2
459832,Male,Yes,72,Yes,Manager,1,Low,1,Category 6
459845,Male,Yes,70,Yes,Nursing,0,Low,1,Category 4
459851,Male,No,45,Yes,Artist,2,Low,1,Category 6
459853,Male,No,33,No,Manager,7,Low,5,Category 6
459861,Female,Yes,74,No,Lawyer,1,High,2,Category 6
459864,Female,Yes,68,No,Artist,,High,2,Category 6
459866,Female,No,49,Yes,Artist,,Low,1,Category 6
459867,Male,Yes,49,Yes,Marketing,0,High,2,Category 6
459869,Female,No,18,No,Nursing,1,Low,3,Category 6
459886,Male,Yes,28,No,Artist,0,Low,4,Category 6
459887,Male,Yes,46,No,Artist,3,Average,2,
459889,Male,Yes,59,Yes,Homemaker,9,Average,3,Category 6
459897,Female,Yes,56,Yes,Artist,0,Low,2,Category 6
459909,Male,Yes,69,Yes,Artist,0,Low,1,Category 6
459910,Male,Yes,66,Yes,Artist,0,Low,2,Category 6
459911,Male,No,18,No,Nursing,4,Low,6,Category 2
459914,Male,No,36,Yes,Artist,4,Low,1,Category 4
459923,Male,No,31,Yes,Marketing,1,Low,2,Category 3
459925,Male,Yes,67,No,Manager,1,High,2,Category 4
459937,Female,No,39,Yes,Artist,7,Low,1,Category 6
459945,Male,Yes,50,Yes,Artist,0,Low,2,Category 6
459946,Female,Yes,37,Yes,Artist,0,Average,2,Category 6
459949,Female,No,59,Yes,Artist,0,Low,1,Category 6
459953,Male,Yes,50,Yes,Artist,8,Low,2,Category 6
459961,Male,Yes,48,Yes,Artist,8,Low,3,Category 2
459962,Male,Yes,55,Yes,Artist,9,Low,1,Category 6
459968,Male,No,38,Yes,Artist,13,Low,1,Category 7
459970,Male,No,43,Yes,Artist,0,Low,2,Category 6
459973,Female,No,53,Yes,Artist,0,Low,2,Category 6
459975,Female,No,36,Yes,Artist,5,Low,1,Category 6
459981,Male,No,36,Yes,Artist,5,Low,1,Category 6
459986,Male,Yes,62,Yes,Artist,1,Low,1,Category 6
459995,Female,No,38,No,Artist,2,Low,2,Category 6
460040,Female,Yes,62,Yes,Homemaker,4,Low,1,Category 5
460045,Male,Yes,61,Yes,Artist,1,Low,2,Category 6
460046,Female,Yes,50,Yes,Artist,4,Low,2,Category 6
460051,Male,No,39,Yes,Artist,7,Low,1,Category 6
460052,Female,No,86,Yes,Lawyer,0,Low,1,Category 3
460058,Male,Yes,50,Yes,Artist,1,Low,1,Category 4
460061,Male,No,52,Yes,Marketing,0,Low,1,Category 3
460066,Female,No,45,No,Marketing,0,Low,1,Category 6
460068,Female,No,37,Yes,Artist,9,Low,1,Category 6
460073,Female,Yes,36,Yes,Engineer,3,Low,1,Category 6
460075,Female,No,25,Yes,Artist,,Low,1,Category 6
460081,Male,Yes,41,Yes,Artist,11,High,2,Category 6
460088,Female,Yes,25,Yes,Homemaker,,High,2,Category 6
460090,Male,Yes,80,No,Lawyer,4,Average,2,Category 6
460093,Female,No,46,Yes,Artist,3,Low,1,Category 3
460095,Female,Yes,81,Yes,Lawyer,1,Low,1,Category 6
460097,Male,,40,Yes,Artist,0,Low,2,Category 3
460101,Female,No,26,Yes,Nursing,8,Low,3,Category 3
460103,Male,No,26,Yes,Artist,1,Low,1,Category 4
460105,Female,No,47,Yes,Artist,0,Low,1,Category 4
460107,Male,Yes,48,Yes,Engineer,1,Average,5,Category 6
460108,Male,Yes,39,Yes,Artist,1,Average,3,Category 2
460109,Male,Yes,50,Yes,Artist,8,Average,2,Category 6
460110,Female,No,46,Yes,Artist,1,Low,2,
460112,Male,Yes,26,Yes,Engineer,8,Average,2,Category 3
460118,Female,Yes,36,Yes,Artist,4,Low,2,Category 6
460119,Male,No,29,Yes,Nursing,1,Low,4,Category 6
460122,Female,No,39,No,Artist,1,Low,1,Category 6
460124,Female,No,41,Yes,Artist,0,Low,3,Category 6
460126,Female,Yes,48,Yes,Marketing,8,Low,,Category 6
460135,Female,No,25,Yes,Nursing,4,Low,3,Category 6
460140,Female,Yes,41,Yes,Artist,7,Low,2,Category 6
460141,Male,No,37,Yes,Artist,11,Low,1,Category 6
460146,Female,Yes,51,Yes,Engineer,0,Average,3,Category 3
460162,Female,No,19,No,Nursing,0,Low,4,Category 2
460166,Female,No,19,No,Nursing,0,Low,7,Category 2
460168,Male,Yes,83,Yes,Manager,0,High,2,Category 2
460171,Female,Yes,62,Yes,Artist,1,High,2,Category 6
460174,Female,No,43,Yes,Artist,9,Low,4,Category 6
460175,Female,No,27,No,Artist,0,Low,5,Category 2
460177,Male,No,50,Yes,Artist,0,Low,1,Category 6
460185,Male,No,32,No,Nursing,9,Low,3,Category 6
460196,Female,No,35,Yes,Nursing,9,Low,2,Category 6
460211,Male,Yes,28,,Artist,6,Low,1,Category 6
460214,Female,Yes,45,Yes,Engineer,0,Average,2,Category 6
460222,Female,,73,Yes,Lawyer,4,High,,Category 6
460227,Male,No,28,No,Nursing,0,Low,3,Category 6
460242,Male,Yes,38,Yes,Nursing,9,Low,3,Category 6
460248,Female,No,27,Yes,Nursing,7,Low,2,Category 6
460252,Male,Yes,41,Yes,Artist,0,Low,2,Category 6
460263,Male,Yes,41,Yes,Artist,1,Low,2,Category 6
460265,Male,Yes,47,Yes,Manager,0,High,4,Category 6
460272,Female,No,88,Yes,Lawyer,0,Low,1,Category 6
460275,Female,No,46,Yes,Artist,6,Low,1,Category 6
460276,Female,Yes,41,Yes,Artist,3,Low,2,Category 6
460287,Male,Yes,48,Yes,Artist,1,Low,1,Category 6
460289,Female,Yes,61,Yes,Artist,4,Average,6,Category 4
460298,Female,No,51,Yes,Lawyer,2,Low,1,Category 6
460303,Female,No,38,Yes,Artist,2,Low,1,
460306,Female,No,43,Yes,Nursing,9,Low,1,Category 6
460310,Male,No,27,No,Nursing,14,Low,4,Category 6
460322,Female,Yes,52,No,Engineer,9,Low,,Category 6
460323,Female,No,38,Yes,Engineer,10,Low,1,Category 6
460327,Female,No,43,Yes,Artist,10,Low,1,Category 6
460336,Female,No,46,Yes,Artist,2,Low,1,Category 7
460340,Female,No,47,Yes,Artist,11,Low,2,Category 6
460344,Female,Yes,53,Yes,Artist,11,Average,2,Category 6
460346,Female,Yes,43,Yes,Artist,12,Average,,Category 6
460348,Female,No,39,Yes,Artist,0,Low,2,Category 6
460349,Male,,42,Yes,Artist,3,Average,2,Category 6
460354,Female,No,37,Yes,Artist,3,Low,1,Category 3
460356,Male,No,19,No,Nursing,0,Low,4,Category 6
460358,Male,No,30,No,Marketing,1,Low,1,Category 3
460361,Female,Yes,49,Yes,Artist,0,Low,1,Category 4
460362,Male,Yes,55,Yes,Nursing,0,Low,3,Category 4
460369,Female,Yes,46,Yes,Artist,,Low,2,Category 6
460370,Female,Yes,27,Yes,Manager,9,High,2,Category 6
460371,Female,No,25,Yes,Artist,1,Low,2,Category 6
460379,Male,No,38,Yes,Artist,9,Low,3,Category 6
460381,Male,No,28,Yes,Artist,11,Low,2,Category 6
460384,Female,Yes,27,Yes,Marketing,8,Low,2,Category 6
460388,Female,No,43,Yes,Artist,14,Low,2,Category 6
460389,Female,Yes,40,Yes,Nursing,8,Average,2,Category 6
460390,Male,No,41,Yes,Artist,9,Low,3,Category 6
460394,Female,No,32,Yes,Nursing,9,Low,3,Category 6
460399,Male,No,28,Yes,Marketing,12,Low,1,Category 6
460401,Female,No,25,Yes,Artist,0,Low,3,Category 7
460404,Male,Yes,42,Yes,Artist,6,Low,7,Category 6
460406,Male,Yes,36,Yes,Nursing,3,Low,2,Category 6
460408,Female,No,42,Yes,Artist,2,Low,1,Category 6
460409,Female,No,42,Yes,Artist,8,Low,4,Category 6
460431,Female,No,47,Yes,Engineer,1,Low,1,Category 6
460434,Male,,57,Yes,Artist,2,High,3,Category 6
460437,Female,No,26,Yes,Artist,8,Low,1,Category 6
460440,Female,No,28,No,Artist,5,Low,2,Category 6
460447,Male,,89,No,Lawyer,0,Low,1,Category 3
460449,Male,No,25,No,Marketing,2,Low,1,Category 3
460450,Male,Yes,50,Yes,Manager,1,High,4,Category 4
460454,Male,No,48,Yes,Artist,,Low,1,Category 6
460459,Female,No,30,No,Engineer,1,Low,5,Category 3
460467,Female,Yes,47,Yes,Artist,,Average,2,Category 6
460470,Male,No,36,No,Nursing,,Low,4,Category 4
460484,Female,No,20,No,Nursing,4,Low,7,Category 3
460485,Female,No,19,No,Marketing,8,Low,5,Category 3
460489,Male,No,19,No,Nursing,9,Low,6,Category 3
460492,Female,No,37,No,Marketing,12,Low,,Category 3
460495,Male,No,20,No,Nursing,0,Low,6,Category 3
460504,Male,,39,No,Manager,,Average,3,Category 3
460505,Female,No,26,Yes,Engineer,1,Low,3,Category 3
460508,Male,Yes,31,Yes,Nursing,2,High,3,Category 3
460518,Female,Yes,41,Yes,Engineer,9,Average,3,Category 3
460522,Female,Yes,32,No,Homemaker,,Average,2,Category 4
460541,Female,Yes,42,Yes,Homemaker,0,Average,3,Category 3
460542,Female,Yes,89,No,Lawyer,1,Low,,Category 3
460545,Male,Yes,78,No,Lawyer,1,High,3,Category 3
460546,Female,Yes,65,Yes,Lawyer,1,Low,2,Category 3
460547,Female,Yes,48,Yes,Homemaker,0,Average,,Category 3
460549,Male,No,36,Yes,Artist,8,Low,2,Category 3
460550,Female,Yes,55,Yes,Artist,0,Average,4,Category 3
460551,Male,Yes,52,Yes,Engineer,0,Average,2,Category 3
460555,Male,Yes,52,Yes,Homemaker,7,Average,3,Category 3
460558,Female,Yes,36,Yes,Engineer,,Low,1,Category 3
460561,Female,No,37,No,Engineer,7,Low,1,Category 3
460563,Female,No,40,No,Nursing,1,Low,2,Category 1
460566,Male,Yes,38,Yes,Homemaker,,Average,2,Category 3
460572,Female,No,33,Yes,Engineer,1,Low,4,Category 3
460574,Male,No,26,Yes,Artist,1,Low,1,Category 3
460583,Male,No,18,No,Marketing,0,Low,6,Category 3
460586,Male,No,26,Yes,Nursing,0,Low,2,Category 3
460588,Male,No,18,No,Nursing,0,Low,4,Category 3
460597,Female,No,20,No,Marketing,1,Low,2,Category 3
460606,Male,No,21,No,Nursing,,Low,5,Category 7
460615,Female,No,28,Yes,Nursing,,Low,,Category 3
460618,Male,Yes,63,Yes,Lawyer,,Low,4,Category 3
460621,Male,Yes,80,Yes,Lawyer,1,Low,2,Category 3
460622,Female,Yes,71,Yes,Lawyer,7,High,3,Category 3
460637,Female,No,18,No,Nursing,,Low,,Category 3
460638,Female,No,26,Yes,Artist,0,Low,4,Category 3
460639,Female,Yes,73,Yes,Lawyer,,Low,5,Category 1
460640,Male,Yes,86,,Lawyer,,Low,1,Category 3
460653,Female,No,28,No,Homemaker,8,Low,1,Category 4
460656,Female,Yes,29,Yes,Artist,9,Low,3,Category 6
460658,Female,Yes,37,Yes,Marketing,7,Average,3,Category 6
460659,Female,Yes,46,Yes,Marketing,,Average,3,Category 6
460661,Female,No,33,No,Homemaker,8,Low,1,Category 6
460686,Female,,25,No,Homemaker,8,Low,1,Category 3
460687,Female,Yes,48,Yes,Homemaker,9,Average,2,Category 3
460691,Female,No,27,No,Homemaker,8,Low,1,Category 3
460702,Female,No,49,Yes,Artist,1,Low,1,Category 6
460703,Female,Yes,33,Yes,Engineer,8,Average,5,Category 4
460706,Female,No,33,No,Engineer,7,Low,6,Category 4
460708,Male,Yes,39,Yes,Artist,0,Low,3,Category 6
460719,Female,Yes,84,Yes,Lawyer,0,Low,,Category 3
460720,Female,Yes,46,Yes,Artist,0,Average,2,Category 6
460726,Male,Yes,57,Yes,Artist,3,Average,2,Category 6
460727,Male,Yes,73,No,Manager,1,High,4,Category 3
460733,Male,No,53,Yes,Marketing,2,Low,4,Category 6
460738,Female,No,53,No,Engineer,0,Low,,Category 7
460740,Male,Yes,35,Yes,Artist,2,Average,3,Category 6
460743,Male,Yes,62,Yes,Artist,0,Average,3,Category 6
460746,Male,No,23,No,Marketing,0,Low,3,Category 6
460763,Male,No,51,Yes,Artist,1,Low,2,Category 6
460769,Female,Yes,83,No,Lawyer,1,High,2,Category 6
460780,Female,No,26,Yes,Nursing,0,Low,2,Category 3
460783,Male,Yes,86,Yes,Lawyer,1,Low,1,Category 6
460785,Male,No,26,Yes,Nursing,0,Low,4,Category 7
460789,Male,Yes,42,Yes,Manager,0,Low,3,Category 6
460794,Female,Yes,41,Yes,Homemaker,9,Low,1,Category 6
460796,Male,Yes,67,No,Lawyer,0,Low,3,Category 6
460802,Male,Yes,68,Yes,Lawyer,1,High,2,Category 6
460811,Female,Yes,45,No,Engineer,0,High,2,Category 6
460813,Female,Yes,86,No,Lawyer,0,High,2,Category 6
460815,Male,Yes,62,Yes,Artist,0,High,2,Category 3
460822,Male,Yes,42,Yes,Artist,1,Low,2,Category 6
460831,Male,No,20,No,Nursing,0,Low,4,Category 6
460837,Female,No,25,Yes,Artist,1,Low,1,Category 5
460838,Male,No,37,Yes,Artist,1,Low,,Category 6
460840,Male,Yes,77,Yes,Lawyer,1,Low,1,Category 6
460844,Male,Yes,50,Yes,Nursing,,Low,2,Category 6
460846,Female,No,22,No,Marketing,0,Low,4,Category 6
460847,Male,No,26,Yes,Artist,1,Low,3,Category 6
460855,Male,Yes,50,Yes,Artist,,Low,2,Category 6
460860,Male,Yes,52,Yes,Artist,6,Average,4,Category 6
460861,Male,No,20,No,Nursing,1,Low,3,Category 3
460870,Male,No,37,Yes,Nursing,,Low,,Category 4
460871,Female,No,33,Yes,Nursing,,Low,,Category 6
460872,Female,Yes,39,Yes,Artist,0,Low,2,Category 4
460877,Female,Yes,53,No,Artist,1,Average,5,Category 6
460882,Male,No,21,No,Nursing,0,Low,2,Category 3
460888,Male,Yes,39,No,Homemaker,8,Low,1,Category 6
460891,Female,Yes,38,No,Artist,2,Average,4,Category 3
460897,Male,No,22,No,Nursing,4,Low,4,Category 6
460898,Male,Yes,52,No,Artist,2,Average,4,Category 6
460902,Male,No,41,Yes,Manager,1,Low,3,Category 6
460905,Male,No,30,Yes,Artist,1,Low,1,Category 3
460906,Female,Yes,89,Yes,Lawyer,1,High,3,Category 6
460907,Male,Yes,83,No,Lawyer,1,High,3,Category 6
460923,Male,Yes,53,Yes,Artist,0,Average,3,Category 6
460928,Male,Yes,48,Yes,Artist,1,Average,4,Category 6
460935,Male,Yes,87,Yes,Lawyer,0,Low,1,Category 6
460945,Male,No,19,No,Engineer,4,Low,7,Category 6
460961,Male,No,23,No,Nursing,1,Low,2,Category 3
